Vm (mV)	I/C(pA/pF)	s.e.m.
-130	-1.68347	0.2199708
-120	-1.514366	0.2058711
-110	-1.293777	0.1829856
-100	-1.082424	0.160892
-90	-0.8489962	0.1361506
-80	-0.7296739	0.12737
-70	-0.5434152	0.1068607
-60	-0.342298	0.09109606
-50	-0.127602	0.07882497
-40	0.2832711	0.08216295
-30	1.73558		0.3787875
-20	3.944237	0.8694973
-10	5.695339	1.241051
0	7.32309		1.570859
10	8.670506	1.795928
20	10.01058	2.02524
30	11.33871	2.205697
40	12.63821	2.391373
50	14.19438	2.491829
60	16.07161	2.590644
70	18.50954	2.661953
80	21.9871		2.684234
90	26.83084	2.833885
