Voltage					Control		100nM IbTX	IbTX sensitive (diff)
-59.8856				-2.62451	-3.95508	1.33057
-59.7406				-3.78418	-3.54004	-0.24414
-59.588					-1.80054	-2.7832		0.98266
-59.5026				-2.83813	-2.02637	-0.81176
-59.2767				-3.84521	-2.68555	-1.15966
-59.1684				-1.83105	-3.44238	1.61133
-58.9792				-2.38037	-2.02637	-0.354
-58.8861				-3.23486	-2.56348	-0.67138
-58.7442				-1.46484	-3.19824	1.7334
-58.6053				-2.31934	-1.19629	-1.12305
-58.4009				-3.63159	-1.36719	-2.2644
-58.2864				-4.82178	-2.63672	-2.18506
-58.1567				-3.78418	-1.7334		-2.05078
-57.9675				-1.06812	-1.80664	0.73852
-57.8226				-1.49536	-2.49023	0.99487
-57.6944				-5.34058	-1.63574	-3.70484
-57.5555				-2.04468	-2.17285	0.12817
-57.4396				-2.80762	-2.51465	-0.29297
-57.2977				-3.23486	-2.41699	-0.81787
-57.0978				-1.80054	-1.61133	-0.18921
-57.0154				-2.68555	-1.12305	-1.5625
-56.8903				-5.06592	-1.14746	-3.91846
-56.7072				-2.71606	-0.512695	-2.203365
-56.553					-3.41797	-2.41699	-1.00098
-56.4035				-5.00488	-2.17285	-2.83203
-56.225					-2.28882	-2.90527	0.61645
-56.1136				-2.56348	-2.39258	-0.1709
-56.0007				-3.60107	-1.70898	-1.89209
-55.8908				-3.26538	-1.2207		-2.04468
-55.6924				-3.93677	-0.170898	-3.765872
-55.5551				-3.08228	-1.83105	-1.25123
-55.4315				-2.47192	-0.90332	-1.5686
-55.1981				-2.9602		-1.48926	-1.47094
-55.1431				-2.74658	-2.58789	-0.15869
-55.0043				-3.17383	-2.19727	-0.97656
-54.8349				-2.01416	-1.51367	-0.50049
-54.6381				-1.12915	-2.14844	1.01929
-54.5068				-4.76074	-1.26953	-3.49121
-54.3634				-4.18091	-1.92871	-2.2522
-54.2474				-1.58691	-2.73437	1.14746
-54.104					-4.11987	-1.36719	-2.75268
-53.9972				-3.38745	-0.952148	-2.435302
-53.7653				-0.152588	1.48926		-1.641848
-53.6371				-2.7771		-2.85645	0.07935
-53.5226				-2.65503	-1.66016	-0.99487
-53.3792				-3.2959		-2.34375	-0.95215
-53.2022				-3.11279	-1.78223	-1.33056
-53.0191				-3.08228	0.170898	-3.253178
-52.9245				-4.76074	-1.53809	-3.22265
-52.7994				-1.40381	-1.12305	-0.28076
-52.6544				-2.34985	-1.51367	-0.83618
-52.4911				-1.46484	-1.63574	0.1709
-52.3538				-2.04468	-1.97754	-0.06714
-52.2318				-3.44849	-2.27051	-1.17798
-52.0639				-3.20435	-1.19629	-2.00806
-51.9312				-3.66211	-1.36719	-2.29492
-51.7969				-4.18091	-1.58691	-2.594
-51.655					-1.15967	-2.88086	1.72119
-51.4886				-2.34985	-2.34375	-0.0061
-51.362					-3.23486	-0.65918	-2.57568
-51.2109				-1.40381	-1.36719	-0.03662
-51.0736				-2.53296	-1.0498		-1.48316
-50.8905				-0.762939	-1.9043		1.141361
-50.7166				-1.52588	-0.244141	-1.281739
-50.5991				-3.57056	-0.415039	-3.155521
-50.4541				-2.80762	-1.66016	-1.14746
-50.332					-1.70898	-1.00098	-0.708
-50.1962				-2.16675	-1.7334		-0.43335
-50.0497				-3.63159	-2.00195	-1.62964
-49.8636				-2.31934	-2.70996	0.39062
-49.7446				-3.02124	-1.48926	-1.53198
-49.5599				-2.99072	-1.53809	-1.45263
-49.473					-2.74658	-0.952148	-1.794432
-49.3448				-1.09863	-1.83105	0.73242
-49.1617				-2.34985	-0.708008	-1.641842
-49.0411				-0.183105	-1.53809	1.354985
-48.9297				-1.31226	-0.146484	-1.165776
-48.797					-2.31934	-0.366211	-1.953129
-48.6124				-2.89917	-0.390625	-2.508545
-48.4293				-2.47192	0.146484	-2.618404
-48.3331				-0.793457	-0.805664	0.012207
-48.1424				-3.17383	-0.537109	-2.636721
-47.9929				-2.22778	-1.78223	-0.44555
-47.9196				-3.75366	-1.36719	-2.38647
-47.7609				-2.31934	-2.34375	0.02441
-47.5885				-1.67847	-0.854492	-0.823978
-47.5168				-2.74658	-1.12305	-1.62353
-47.294					-1.12915	-1.17187	0.04272
-47.114					-2.16675	-0.927734	-1.239016
-47.0056				-2.01416	1.00098		-3.01514
-46.8469				-1.52588	-2.34375	0.81787
-46.763					-1.09863	-1.53809	0.43946
-46.5768				-0.946045	0.439453	-1.385498
-46.4319				-0.0610352	-1.78223	1.7211948
-46.2686				-1.89209	-1.9043		0.01221
-46.1221				-3.96728	0.439453	-4.406733
-45.9558				-1.43433	-0.976562	-0.457768
-45.8368				-1.19019	-1.29395	0.10376
-45.7162				-2.71606	-0.78125	-1.93481
-45.5972				-0.518799	-1.58691	1.068111
-45.4065				-3.38745	-0.268555	-3.118895
-45.2615				-1.92261	-0.537109	-1.385501
-45.0479				-0.915527	-0.366211	-0.549316
-44.9609				-2.50244	-0.341797	-2.160643
-44.7992				-1.49536	-0.415039	-1.080321
-44.6619				-1.61743	1.36719		-2.98462
-44.5078				-1.49536	-0.341797	-1.153563
-44.4025				-2.53296	0.512695	-3.045655
-44.2331				-2.65503	-1.19209E-08	-2.655029988
-44.0805				-2.01416	0.78125		-2.79541
-43.9203				-2.2583		0.341797	-2.600097
-43.8211				-2.92969	-1.78223	-1.14746
-43.6487				-2.44141	-0.195313	-2.246097
-43.4686				-1.43433	-1.66016	0.22583
-43.4091				-2.80762	-0.12207	-2.68555
-43.2047				-2.13623	-1.24512	-0.89111
-43.0704				-1.95312	-0.488281	-1.464839
-42.9514				-1.12915	-1.3916		0.26245
-42.8278				-3.38745	-0.488281	-2.899169
-42.7118				-1.5564		1.09863		-2.65503
-42.55					-2.9602		-0.830078	-2.130122
-42.3898				-1.0376		-1.24512	0.20752
-42.2342				-1.31226	0.170898	-1.483158
-42.1228				-2.0752		-0.0976563	-1.9775437
-41.9717				0.88501		0.268555	0.616455
-41.7856				-1.52588	-0.805664	-0.720216
-41.6589				-0.671387	0.195312	-0.866699
-41.4484				-1.2207		0.708008	-1.928708
-41.3095				-1.70898	-0.0244141	-1.6845659
-41.2149				-2.86865	-1.07422	-1.79443
-41.0562				0.549316	-1.12305	1.672366
-40.8746				-1.00708	-0.683594	-0.323486
-40.7877				-2.50244	-0.317383	-2.185057
-40.661					-2.22778	0.708008	-2.935788
-40.4794				-1.92261	-0.268555	-1.654055
-40.3818				-1.52588	-0.463867	-1.062013
-40.2032				-1.98364	0.146484	-2.130124
-40.0034				-2.19727	0.634766	-2.832036
-39.924					-1.83105	-0.610351	-1.220699
-39.7714				-1.49536	0.024414	-1.519774
-39.6463				-1.28174	1.61133		-2.89307
-39.4922				-1.67847	0.219727	-1.898197
-39.3289				-0.274658	3.36914		-3.643798
-39.155					-1.37329	0.146484	-1.519774
-39.0527				-1.83105	1.31836		-3.14941
-38.8773				-1.19019	-0.244141	-0.946049
-38.7415				-0.762939	0.317383	-1.080322
-38.5431				-0.12207	0.634766	-0.756836
-38.4805				-1.64795	0.65918		-2.30713
-38.3371				-3.26538	0.439453	-3.704833
-38.2135				-2.41089	-0.244141	-2.166749
-38.0792				-0.88501	0.268555	-1.153565
-37.8946				-0.88501	-0.537109	-0.347901
-37.7481				-1.15967	1.48926		-2.64893
-37.6382				-1.34277	0.976562	-2.319332
-37.475					-1.5564		0.317383	-1.873783
-37.3392				-1.09863	0.268555	-1.367185
-37.1622				0.12207		1.09863		-0.97656
-36.9974				-0.183106	1.46484		-1.647946
-36.8753				-0.671387	0.830078	-1.501465
-36.7731				-0.854492	-0.561523	-0.292969
-36.5411				1.92261		1.26953		0.65308
-36.4206				-0.823974	0.463867	-1.287841
-36.3107				0.549316	-0.537109	1.086425
-36.123					-1.86157	0.610352	-2.471922
-36.001					0.549316	1.36719		-0.817874
-35.853					0.762939	0.341797	0.421142
-35.7156				-1.06812	0.634766	-1.702886
-35.6058				-0.579834	0.634766	-1.2146
-35.383					-1.61743	0.927734	-2.545164
-35.2686				-1.2207		0.390625	-1.611325
-35.0916				-1.28174	0.366211	-1.647951
-35.0443				-1.06812	0.268555	-1.336675
-34.8276				-1.64795	1.66016		-3.30811
-34.7635				-2.38037	0.0244141	-2.4047841
-34.5407				-2.53296	-1.51367	-1.01929
-34.3851				-0.854492	1.92871		-2.783202
-34.2615				0.183105	0.268555	-0.08545
-34.1592				-0.671387	1.09863		-1.770017
-33.97					0.823974	0.512695	0.311279
-33.8052				-0.915527	0.341797	-1.257324
-33.6664				-1.49536	-0.0732422	-1.4221178
-33.4879				-1.61743	1.0498		-2.66723
-33.4299				0.183105	0.0976562	0.0854488
-33.2346				-0.0915527	1.00098		-1.0925327
-33.1262				0.640869	1.2207		-0.579831
-33.0057				0.305176	-0.415039	0.720215
-32.789					-0.427246	1.68457		-2.111816
-32.6288				0.335693	1.3916		-1.055907
-32.5601				-0.457764	1.14746		-1.605224
-32.3694				-0.915527	0.78125		-1.696777
-32.226					1.15967		1.78223		-0.62256
-32.0642				-1.2207		1.46484		-2.68554
-31.9147				-0.396728	2.51465		-2.911378
-31.8079				-0.488281	0.854492	-1.342773
-31.6522				-1.15967	1.66016		-2.81983
-31.5042				0.88501		1.87988		-0.99487
-31.3913				1.31226		1.3916		-0.07934
