Comment			
voltage(mV)		Control	.+Bup	diff
-149.575		-252.747	-167.404	-85.343
-149.565		-229.187	-169.861	-59.326
-149.577		-239.034	-167.801	-71.233
-149.622		-254.659	-169.479	-85.18
-149.626		-262.227	-175.369	-86.858
-149.632		-246.704	-172.043	-74.661
-149.459		-248.454	-177.582	-70.872
-149.345		-237.671	-164.246	-73.425
-149.152		-230.977	-167.862	-63.115
-148.991		-220.927	-160.934	-59.993
-148.788		-225.566	-171.02		-54.546
-148.713		-241.048	-152.191	-88.857
-148.652		-237.752	-155.563	-82.189
-148.497		-213.359	-168.35		-45.009
-148.322		-232.707	-158.417	-74.29
-148.123		-218.018	-164.429	-53.589
-148.021		-218.424	-145.798	-72.626
-147.832		-225.688	-139.053	-86.635
-147.683		-223.124	-156.57		-66.554
-147.533		-236.816	-165.375	-71.441
-147.439		-228.984	-152.649	-76.335
-147.268		-220.439	-153.198	-67.241
-147.136		-227.58		-154.724	-72.856
-147.006		-241.394	-147.766	-93.628
-146.778		-232.218	-155.609	-76.609
-146.711		-238.708	-178.665	-60.043
-146.542		-230.57		-173.874	-56.696
-146.403		-236.959	-166.473	-70.486
-146.275		-243.083	-164.185	-78.898
-146.163		-250.956	-168.243	-82.713
-145.988		-239.38		-161.087	-78.293
-145.834		-223.511	-170.135	-53.376
-145.614		-225.098	-158.615	-66.483
-145.555		-213.277	-171.143	-42.134
-145.331		-222.656	-164.337	-58.319
-145.254		-227.722	-161.575	-66.147
-145.055		-234.273	-165.024	-69.249
-144.884		-232.727	-172.226	-60.501
-144.755		-232.707	-174.957	-57.75
-144.617		-225.362	-181.641	-43.721
-144.469		-252.36		-174.622	-77.738
-144.328		-253.011	-150.711	-102.3
-144.218		-252.055	-144.318	-107.737
-144.035		-256.551	-162.491	-94.06
-143.942		-252.34		-163.467	-88.873
-143.809		-250.041	-160.507	-89.534
-143.632		-257.263	-162.109	-95.154
-143.478		-241.15		-159.363	-81.787
-143.368		-233.398	-150.482	-82.916
-143.203		-248.678	-146.408	-102.27
-143.093		-238.953	-146.042	-92.911
-142.898		-236.267	-140.518	-95.749
-142.778		-252.97		-145.035	-107.935
-142.564		-248.962	-150.589	-98.373
-142.416		-212.382	-141.769	-70.613
-142.286		-221.822	-132.477	-89.345
-142.176		-219.686	-131.363	-88.323
-141.966		-232.076	-140.976	-91.1
-141.903		-205.139	-143.6		-61.539
-141.759		-221.639	-138.397	-83.242
-141.679		-224.406	-142.395	-82.011
-141.455		-229.004	-141.647	-87.357
-141.266		-220.398	-146.347	-74.051
-141.093		-212.708	-150.742	-61.966
-140.971		-198.893	-143.677	-55.216
-140.876		-208.415	-138.473	-69.942
-140.863		-221.497	-154.556	-66.941
-140.625		-206.441	-139.374	-67.067
-140.465		-206.563	-128.708	-77.855
-140.328		-215.963	-152.618	-63.345
-140.139		-211.894	-152.039	-59.855
-140.037		-219.157	-141.052	-78.105
-139.871		-243.042	-133.591	-109.451
-139.738		-222.27		-141.861	-80.409
-139.602		-218.831	-148.743	-70.088
-139.474		-225.24		-137.878	-87.362
