time(s)					voltage (mv)	control	SB488	SB488+SB779	diff (TRPV4 current)
0					-98.7305	-28.9917	-144.348	-50.0488    -94.2992
5.00E-04				-98.6023	-29.6021	-134.888	-43.9453    -90.9427
0.001					-98.5229	-30.5176	-119.324	-53.7109    -65.6131
0.0015					-98.4314	-28.3813	-139.771	-50.9644    -88.8066
0.002					-98.3215	-29.6021	-133.057	-50.0488    -83.0082
0.0025					-98.2056	-29.2969	-142.517	-48.5229    -93.9941
0.003					-98.1262	-31.7383	-128.784	-54.9316    -73.8524
0.0035					-98.0103	-28.6865	-137.939	-52.4902    -85.4488
0.004					-97.9126	-27.4658	-138.55		-51.2695    -87.2805
0.0045					-97.8394	-29.2969	-145.264	-53.4058    -91.8582
0.005					-97.6929	-28.3813	-138.245	-57.373	    -80.872
0.0055					-97.644		-28.0762	-137.329	-54.0161    -83.3129
0.006					-97.5464	-26.5503	-132.751	-53.7109    -79.0401
0.0065					-97.4243	-25.0244	-129.089	-59.8145    -69.2745
0.007					-97.3206	-28.9917	-130.005	-61.3403    -68.6647
0.0075					-97.2168	-28.0762	-145.264	-61.3403    -83.9237
0.008					-97.1436	-26.5503	-151.672	-51.8799    -99.7921
0.0085					-97.0337	-28.3813	-156.86		-57.0679    -99.7921
0.009					-96.9177	-27.4658	-148.926	-59.8145    -89.1115
0.0095					-96.8018	-26.5503	-140.991	-62.8662    -78.1248
0.01					-96.7285	-23.1934	-138.245	-54.6265    -83.6185
0.0105					-96.6125	-27.4658	-132.751	-54.9316    -77.8194
0.011					-96.5271	-26.8555	-121.155	-54.3213    -66.8337
0.0115					-96.4294	-25.3296	-134.583	-58.8989    -75.6841
0.012					-96.3257	-25.0244	-144.348	-52.1851    -92.1629
0.0125					-96.2585	-25.0244	-148.926	-49.1333    -99.7927
0.013					-96.1182	-26.5503	-137.634	-51.2695    -86.3645
0.0135					-96.051		-25.6348	-131.531	-52.4902    -79.0408
0.014					-95.9473	-25.9399	-147.705	-47.6074    -100.0976
0.0145					-95.813		-27.771		-131.531	-54.0161    -77.5149
0.015					-95.7336	-25.6348	-134.277	-52.1851    -82.0919
0.0155					-95.6116	-29.6021	-136.414	-42.7246    -93.6894
0.016					-95.5322	-26.8555	-135.498	-50.6592    -84.8388
0.0165					-95.4407	-27.1606	-142.517	-54.9316    -87.5854
0.017					-95.3308	-29.9072	-134.277	-47.6074    -86.6696
0.0175					-95.2271	-27.4658	-140.991	-48.2178    -92.7732
0.018					-95.1172	-27.1606	-144.043	-47.3022    -96.7408
0.0185					-95.05		-27.4658	-146.179	-51.8799    -94.2991
0.019					-94.9158	-31.4331	-149.231	-49.7437    -99.4873
0.0195					-94.8303	-27.4658	-137.024	-52.1851    -84.8389
0.02					-94.7449	-26.8555	-116.882	-50.0488    -66.8332
0.0205					-94.6472	-25.6348	-139.771	-46.3867    -93.3843
0.021					-94.5068	-25.3296	-135.803	-41.8091    -93.9939
0.0215					-94.4397	-26.8555	-130.92		-40.8936    -90.0264
0.022					-94.3237	-29.6021	-135.803	-38.7573    -97.0457
0.0225					-94.2383	-28.0762	-124.207	-47.6074    -76.5996
0.023					-94.1467	-26.5503	-146.179	-44.5557    -101.6233
0.0235					-94.043		-26.8555	-138.55		-45.7764    -92.7736
0.024					-93.927		-29.2969	-145.874	-49.4385    -96.4355
0.0245					-93.8354	-30.8228	-151.367	-50.6592    -100.7078
0.025					-93.7439	-27.1606	-142.517	-44.2505    -98.2665
0.0255					-93.6279	-24.4141	-122.07		-48.5229    -73.5471
0.026					-93.5181	-27.4658	-131.531	-41.5039    -90.0271
0.0265					-93.4326	-25.3296	-143.738	-50.354	    -93.384
0.027					-93.3289	-26.8555	-129.089	-55.542	    -73.547
0.0275					-93.2495	-25.6348	-128.479	-53.1006    -75.3784
0.028					-93.1396	-25.9399	-137.634	-48.5229    -89.1111
0.0285					-93.0237	-27.4658	-146.79		-50.6592    -96.1308
0.029					-92.9321	-25.9399	-133.972	-44.8608    -89.1112
0.0295					-92.865		-23.4985	-120.544	-49.7437    -70.8003
0.03					-92.7307	-24.7192	-110.474	-48.8281    -61.6459
0.0305					-92.6331	-25.9399	-121.46		-46.6919    -74.7681
0.031					-92.5537	-26.2451	-121.155	-46.6919    -74.4631
0.0315					-92.4316	-26.8555	-119.629	-48.2178    -71.4112
0.032					-92.3584	-25.0244	-117.798	-50.354	    -67.444
0.0325					-92.2363	-27.4658	-117.493	-50.6592    -66.8338
0.033					-92.1387	-27.1606	-125.122	-43.335	    -81.787
0.0335					-92.041		-24.1089	-124.207	-41.8091    -82.3979
0.034					-91.9373	-25.0244	-111.084	-44.8608    -66.2232
0.0345					-91.8579	-24.4141	-120.239	-47.9126    -72.3264
0.035					-91.7542	-28.0762	-121.765	-45.7764    -75.9886
0.0355					-91.6565	-24.4141	-129.7		-44.5557    -85.1443
0.036					-91.5466	-27.771		-136.414	-49.7437    -86.6703
0.0365					-91.4307	-27.1606	-132.446	-49.1333    -83.3127
0.037					-91.3513	-26.8555	-128.784	-46.0815    -82.7025
0.0375					-91.2292	-29.6021	-131.531	-51.8799    -79.6511
0.038					-91.1499	-25.3296	-134.888	-44.8608    -90.0272
0.0385					-91.0278	-28.3813	-130.92		-40.8936    -90.0264
0.039					-90.9668	-28.0762	-119.019	-42.1143    -76.9047
0.0395					-90.8569	-26.8555	-135.193	-35.7056    -99.4874
0.04					-90.7532	-28.3813	-137.329	-42.1143    -95.2147
0.0405					-90.6677	-28.9917	-126.953	-48.2178    -78.7352
0.041					-90.5518	-29.6021	-116.272	-47.9126    -68.3594
0.0415					-90.4358	-24.7192	-125.122	-48.5229    -76.5991
0.042					-90.3625	-26.5503	-129.395	-47.6074    -81.7876
0.0425					-90.2405	-27.4658	-135.193	-49.7437    -85.4493
0.043					-90.1428	-27.4658	-128.174	-44.8608    -83.3132
0.0435					-90.0269	-26.2451	-134.888	-46.0815    -88.8065
0.044					-89.9292	-27.4658	-137.634	-43.335	    -94.299
0.0445					-89.8438	-26.5503	-137.939	-40.8936    -97.0454
0.045					-89.7644	-25.0244	-129.395	-44.5557    -84.8393
0.0455					-89.6362	-24.7192	-136.719	-40.5884    -96.1306
0.046					-89.5569	-24.1089	-138.245	-45.166	    -93.079
0.0465					-89.4714	-22.8882	-135.498	-37.5366    -97.9614
0.047					-89.3311	-26.2451	-122.986	-35.7056    -87.2804
0.0475					-89.27		-24.7192	-107.117	-33.5693    -73.5477
0.048					-89.1724	-25.6348	-113.831	-36.3159    -77.5151
0.0485					-89.0686	-24.4141	-125.427	-36.3159    -89.1111
0.049					-88.9587	-25.0244	-127.563	-40.5884    -86.9746
0.0495					-88.8428	-23.8037	-111.389	-46.3867    -65.0023
0.05					-88.7573	-26.8555	-121.765	-41.5039    -80.2611
0.0505					-88.6414	-25.0244	-133.667	-45.166	    -88.501
0.051					-88.562		-24.1089	-121.155	-43.9453    -77.2097
0.0515					-88.4583	-26.2451	-124.817	-43.335	    -81.482
0.052					-88.3484	-25.9399	-120.544	-39.6729    -80.8711
0.0525					-88.2629	-24.1089	-114.746	-40.2832    -74.4628
0.053					-88.147		-25.6348	-107.727	-44.2505    -63.4765
0.0535					-88.0493	-25.9399	-113.525	-45.4712    -68.0538
0.054					-87.97		-26.2451	-112.61		-41.5039    -71.1061
0.0545					-87.854		-24.1089	-113.831	-42.7246    -71.1064
0.055					-87.7563	-25.6348	-114.746	-41.8091    -72.9369
0.0555					-87.6526	-23.4985	-108.032	-42.4194    -65.6126
0.056					-87.5732	-25.3296	-113.831	-39.0625    -74.7685
0.0565					-87.4634	-22.2778	-113.22		-37.8418    -75.3782
